Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
hdiuRS9sVZSMReZm4oV5SA,Da Andrea,35 W 13th St,"{'latitude': 40.736218, 'longitude': -73.99597}",1820,4.5,10011
16ZnHpuaaBt92XWeJHCC5A,Olio e Più,3 Greenwich Ave,"{'latitude': 40.733798036104304, 'longitude': -73.99977392649927}",4030,4.5,10014
OWNmOq-TAsHjGcYdCVclSw,Osteria La Baia,129 W 52nd St,"{'latitude': 40.76189587672743, 'longitude': -73.9806749}",68,4.5,10019
DoSU8IPq-Py_YV3kYmXPfQ,Trattoria Trecolori,254 West 47th St,"{'latitude': 40.759876, 'longitude': -73.986767}",2606,4.0,10036
rp8S7scxOkVVeG7dNneMGQ,L'Artusi,228 W 10th St,"{'latitude': 40.73372, 'longitude': -74.00513}",2236,4.5,10014
VmdyRRMtUXOWV7F7w0ImwQ,Piccola Cucina Uptown,106 E 60th St,"{'latitude': 40.763174, 'longitude': -73.969046}",283,4.5,10022
vjubSxmdG_HoBBgd39geBw,Nino's 46,39 W 46th St,"{'latitude': 40.7569046125342, 'longitude': -73.980516}",1353,4.0,10036
WG639VkTjmK5dzydd1BBJA,Rubirosa,235 Mulberry St,"{'latitude': 40.722766, 'longitude': -73.996233}",2912,4.5,10012
BPo5XByMdNiXK_i--gqiRA,Duomo51,25 W 51st St,"{'latitude': 40.759979, 'longitude': -73.97824}",13,4.5,10019
OAqsZMbjv66nOMqlimnYuQ,Uva,1486 2nd Ave,"{'latitude': 40.77219299003591, 'longitude': -73.95561517222123}",2702,4.0,10075
JLpEKUYAtzBRQwsUL3RPIA,Il Corso,54 W 55th St,"{'latitude': 40.762441, 'longitude': -73.977206}",422,4.5,10019
22nKUyCIbpnzR6R3_g1ptQ,Carmine's Italian Restaurant - Times Square,200 W 44th St,"{'latitude': 40.75749848725768, 'longitude': -73.98665333142026}",4411,4.0,10036
V3USzFEGhuoXez4G2Rk11A,Tavola,488 9th Ave,"{'latitude': 40.755403, 'longitude': -73.994516}",1235,4.0,10018
AUifp6IDKzmorCM6vY2fug,Pepe Giallo,195 10th Ave,"{'latitude': 40.7468940064083, 'longitude': -74.0049896784992}",760,4.0,10011
raqwXUBlnc0e8c7CYmxEJQ,Scarpetta,88 Madison Ave,"{'latitude': 40.744509, 'longitude': -73.9856}",2218,4.0,10016
5TX0X8w5ssIACU_pnBEq6g,Tony's Di Napoli,147 W 43rd St,"{'latitude': 40.75641, 'longitude': -73.98547}",2484,4.0,10036
h37t9rA06Sr4EetJjKrfzw,Don Angie,103 Greenwich Ave,"{'latitude': 40.73778, 'longitude': -74.00197}",655,4.5,10014
qBGKigOGn_flCx1apxPzlA,Piccola Cucina Osteria,196 Spring St,"{'latitude': 40.72506, 'longitude': -74.00322}",758,4.5,10012
TqNd-LKHuoYo1_mYwqiBFQ,Nonna Dora’s,606 2nd Ave,"{'latitude': 40.74440176159688, 'longitude': -73.97634764480043}",64,4.5,10016
OCTiJwvjoK81WoDwsTkFvA,Paesano of Mulberry Street,136 Mulberry St,"{'latitude': 40.718554, 'longitude': -73.997447}",1336,4.0,10013
LkV96_buOU_n0br4SBO57w,Ci Siamo,440 West 33rd St,"{'latitude': 40.75240549384363, 'longitude': -73.9982864846782}",245,4.5,10001
LXdblKc5g1Dp17xiV-Am1w,Trattoria Dell'Arte,900 7th Ave,"{'latitude': 40.76545990643915, 'longitude': -73.98053136970677}",1158,4.0,10019
dIyKvfhjtm3NuKrMVVt0TA,Lucciola Italian Restaurant,621 Amsterdam Ave,"{'latitude': 40.790362, 'longitude': -73.972629}",78,4.5,10024
MOwB9YYd-Ko6nVgSB-ltQw,Briciola,370 W 51st St,"{'latitude': 40.7637997047278, 'longitude': -73.9880919456482}",982,4.0,10019
HpxYBu1ARzOGvuUcLJe54g,Giardino 54,400 1/2 W 54th St,"{'latitude': 40.7660476, 'longitude': -73.987591}",195,4.5,10019
26emJlm1YMFyOCezfgVk4g,Da Raffaele,883 First Ave,"{'latitude': 40.7535386913133, 'longitude': -73.9666010811925}",218,4.5,10022
yB4ziqFM_7V8JxJas7CHfA,Ulivo,4 W 28th St,"{'latitude': 40.7447371960713, 'longitude': -73.9880339428782}",365,4.0,10001
8oO6j7AlnAbMSJs9Oj9GIw,Osteria Delbianco,22 East 49th St,"{'latitude': 40.7573689002, 'longitude': -73.9764462233}",171,4.5,10017
Q1_UvNyONsaVS_VC1mD9Dw,Osteria Cotta,513 Columbus Ave,"{'latitude': 40.78554, 'longitude': -73.97263}",1032,4.0,10024
Vs8kQ4R381y27AH018gLpg,Supper,156 E 2nd St,"{'latitude': 40.72290786539601, 'longitude': -73.98520720537888}",1460,4.0,10009
HiNUBUR1hFwScd_OvVLQAg,La Pecora Bianca,1133 Broadway,"{'latitude': 40.74358, 'longitude': -73.9892}",1000,4.0,10010
Ve6GVzzJpR5QIIPdcn6ViQ,Mercato,352 W 39th St,"{'latitude': 40.75619, 'longitude': -73.9937}",1027,4.0,10018
q3_FgDWWuXcVGiNuo_OPBQ,Fiaschetteria Pistoia,647 E 11th St,"{'latitude': 40.72666, 'longitude': -73.9773}",246,4.0,10009
GjEE8vvjqb7eeHA3BGNxAw,Barolo East,214 E 49th St,"{'latitude': 40.75481, 'longitude': -73.97059}",247,4.5,10017
dc3hkLkAqCSxDWQzrx-g9A,Quality Italian,57 W 57th St,"{'latitude': 40.7644044527436, 'longitude': -73.9767805051616}",1331,4.0,10019
z7H9ApIGopnDnQaglnPTzg,Allora Ristorante,145 E 47th St,"{'latitude': 40.75433, 'longitude': -73.97277}",753,4.5,10017
Zp-K3ztVTzR-LrWwl_CBgA,La Pecora Bianca,20 W 40th St,"{'latitude': 40.7525275894982, 'longitude': -73.9829860255122}",181,4.0,10018
mTWlEiCUEBlxBAkIikkB1A,Carmine's Italian Restaurant - Upper West Side,2450 Broadway,"{'latitude': 40.791077, 'longitude': -73.973763}",1692,4.0,10024
zRXMvxUX_rOliKZPpkWi_g,Valerie,45 W 45th St between 5th & 6th Ave,"{'latitude': 40.756326, 'longitude': -73.981117}",600,4.5,10036
IErfGS0DASSJfYU73m0Sqg,Malatesta Trattoria,649 Washington St,"{'latitude': 40.73285, 'longitude': -74.00847}",1339,4.0,10014
5F9kZPnAleDYqCeCyvGJPA,Bad Roman,10 Columbus Cir,"{'latitude': 40.768494, 'longitude': -73.983072}",7,4.5,10019
pk89jzL1RsE9U0thf_z6tw,Locanda Verde,377 Greenwich St,"{'latitude': 40.7198601300801, 'longitude': -74.010039072422}",1815,4.0,10013
SCQ9B9jxqNHvJKQ-RagxaA,SPES,413 E 12th St,"{'latitude': 40.72979, 'longitude': -73.98274}",29,4.5,10009
jDIVPYpxQAk1HUAi0NIlQw,Pazza Notte,1375 Avenue Of The Americas,"{'latitude': 40.76348, 'longitude': -73.978091}",997,4.0,10019
IAbOg5Kd5AynOcbI8vGTwQ,Aperitivo,14 E 60th St,"{'latitude': 40.76431314475945, 'longitude': -73.9717568}",52,4.5,10022
7_hGsGEkHrjgAiYVjrCFnw,Carbone,181 Thompson St,"{'latitude': 40.728, 'longitude': -74.0001497}",1553,4.0,10012
k5fd-RSdG4IuXnnGSQ5oOw,San Marzano Pasta Fresca,117 Second Ave,"{'latitude': 40.727966, 'longitude': -73.988382}",1491,4.0,10003
jnHbdsqlTKlPcmJ8BCP9-g,Via Carota,51 Grove St,"{'latitude': 40.733148231901204, 'longitude': -74.00366777251583}",837,4.0,10014
0axnkZlDiQcJVc06DDXxGQ,Ristorante Il Melograno,501 W 51st St,"{'latitude': 40.7654289685161, 'longitude': -73.9914178848267}",369,4.0,10019
KCBfW6sWl9Gx-LvMff08jg,Osteria Morini,218 Lafayette St,"{'latitude': 40.7219179851303, 'longitude': -73.9976472073402}",1272,4.0,10012
vVVmHacu2YAxKfpIjhfd1g,Norma,438 3rd Ave,"{'latitude': 40.743553, 'longitude': -73.980026}",594,4.5,10016
yQ7K4uFnxXxpBVbnOSR8kA,Polpette 71,71 West 71st St,"{'latitude': 40.77668, 'longitude': -73.97888}",232,4.0,10023
Z-QmxQZAJEy5GXqA82Bemw,Da Toscano,24 Minetta Ln,"{'latitude': 40.730508, 'longitude': -74.001238}",98,4.5,10012
RPP_wHhM8yZYIP5W-YHk6Q,Fumo,2791 Broadway,"{'latitude': 40.80285617298625, 'longitude': -73.968119}",209,4.0,10025
rFeNJtqgMWf2tWy-RB6jgg,Torrisi,275 Mulberry St,"{'latitude': 40.7246154, 'longitude': -73.9952614}",24,4.5,10012
3qIISjUYn1tbqHXi7nCLXg,Sofia Wine Bar,242 E 50th St,"{'latitude': 40.75502, 'longitude': -73.96913}",736,4.0,10022
TzVVPWK_4dhdSEpNqZwIhQ,Toscana 49,143 East 49 St,"{'latitude': 40.7556957079225, 'longitude': -73.9717184007168}",324,4.0,10017
TWH4MjLtN1fKlF-7n6YXHg,Lil Frankie's,19 1st Ave,"{'latitude': 40.723625, 'longitude': -73.988555}",1427,4.0,10003
zYaYXpmlo6QdnaPwuxWHhQ,L'Osteria,1219 Lexington Ave,"{'latitude': 40.77704, 'longitude': -73.95721}",21,4.5,10028
V-FCEicobl5Su-R7EVJQNA,La Lanterna Di Vittorio,129 MacDougal St,"{'latitude': 40.73069, 'longitude': -74.00015}",1632,4.0,10012
JwCnSW-RQ7_DxvbzWNO1hA,Coletta,365 3rd Ave,"{'latitude': 40.74094, 'longitude': -73.98139}",165,4.5,10016
hzPBADaUBQEL30MGrvKsww,Il Tinello Ristorante Italiano,16 W 56th St,"{'latitude': 40.76256, 'longitude': -73.97566}",319,4.5,10019
J0OeDwmh5JBhid0A5GvltA,Il Corallo Trattoria,176 Prince St,"{'latitude': 40.7262073, 'longitude': -74.0018919}",1113,4.0,10012
lwfCl81r5a0mjxDNxNGC9w,Il Buco,47 Bond St,"{'latitude': 40.72583, 'longitude': -73.99299}",778,4.0,10012
7cjT33LfYSk7vrRdEaSr4w,Angeletto Restaurant,890 2nd Ave,"{'latitude': 40.753188, 'longitude': -73.969365}",291,4.5,10017
32VbG_XgkZIuye0PV-BxaA,Zero Otto Nove,15 W 21st St,"{'latitude': 40.7407551035259, 'longitude': -73.9914887388588}",528,4.0,10010
yZJbealagfujEkgesAl2hA,Lupa,170 Thompson St,"{'latitude': 40.7276, 'longitude': -74.000045}",1711,4.0,10012
562aZEpTDdYKDe5hWuDyFA,La Gioconda,226 E 53rd St,"{'latitude': 40.75716, 'longitude': -73.96833}",193,4.0,10022
5EQOEAkH2Qh3Rv1TcnE7yA,Fiaschetteria Pistoia,114 Christopher St,"{'latitude': 40.73316, 'longitude': -74.00537}",115,4.0,10014
15k7iqFbhf4h8L01yggLqg,Song E Napule,146 W Houston St,"{'latitude': 40.72813, 'longitude': -74.00188}",671,4.5,10012
goqTQ4tOD-asC_ZJBW9l7w,Patsy's Italian Restaurant,236 W 56th St,"{'latitude': 40.76553, 'longitude': -73.98274}",1084,4.0,10019
H_KyiRhwho8rdlw_R93_0Q,Marea,240 Central Park S,"{'latitude': 40.7674213694566, 'longitude': -73.9810554368179}",2323,4.0,10019
z8TIY5xLeQptbXxZp3LpsA,Felice 56,15 W 56th St,"{'latitude': 40.762862, 'longitude': -73.975396}",87,4.5,10019
zg9Jrtx9rqTXeaqufSOxHQ,Masseria dei Vini,887 9th Ave,"{'latitude': 40.7684, 'longitude': -73.98558}",517,4.0,10019
K9Ur20N51Li3sAvaV9-6Ng,Casa Limone,20 East 49th St,"{'latitude': 40.7573268, 'longitude': -73.97666174194207}",84,4.5,10017
MphfKkYFEe0BDQ6hZ0A5fA,Gelso & Grand,186 Grand St,"{'latitude': 40.71958, 'longitude': -73.99734}",1366,4.5,10013
Rc1Ay4C2BgLBouuM92SAtQ,Ferdi,15 7th Ave S,"{'latitude': 40.72995, 'longitude': -74.00449}",22,4.5,10014
Sp-vnk-waTvKblG_88M4TA,Trapizzino,144 Orchard St,"{'latitude': 40.72043, 'longitude': -73.98894}",288,4.5,10002
fFIQ8Rx4x1Z34kFJcmlVzQ,Cacio E Pepe,1479 York Ave,"{'latitude': 40.77090864674996, 'longitude': -73.95098168604862}",60,4.5,10075
wzHyRI6iW0rIY8rMb3KClA,Felice,240 Columbus Ave,"{'latitude': 40.77697, 'longitude': -73.97933}",106,4.0,10023
6eqrk1wCQMww_ejze5gvsg,Forsythia,9 Stanton St,"{'latitude': 40.7225353, 'longitude': -73.992492}",132,4.5,10002
H5bhfR5sL0I2w1csjI1uMA,Piatto,1-50 50th Ave,"{'latitude': 40.7435117, 'longitude': -73.9590968}",234,4.0,11101
zwOAiVT4pAmpNGXzj-t5MA,Lilia,567 Union Ave,"{'latitude': 40.71757, 'longitude': -73.95236}",1114,4.0,11211
NAlOPUbFQVE0bUu8_wmBLQ,Rezdôra,27 E 20th St,"{'latitude': 40.73901, 'longitude': -73.9891}",572,4.0,10003
riykDqJw_NPGssLgqCeD-Q,Aunt Jake's,1555 2nd Ave,"{'latitude': 40.774587, 'longitude': -73.954513}",179,4.5,10028
faukkggAc_tuJ4THYlf4fg,La Masseria,235 W 48th St,"{'latitude': 40.760868632784, 'longitude': -73.986348802868}",691,4.0,10036
RXCCofQw1EjTcSN0ZeXfRA,Risotteria Melotti NYC,309 E 5th St,"{'latitude': 40.726673363853, 'longitude': -73.9880919456482}",374,4.5,10003
a4WZUTKn90dOkeY38JHNjQ,Aurora,70 Grand St,"{'latitude': 40.715621, 'longitude': -73.964757}",792,4.0,11249
hDj_0pbi4mFR5p1H1w6igw,Misirizzi,36 E 4th St,"{'latitude': 40.7272, 'longitude': -73.99228}",189,4.5,10003
DGhWO1sUWydVeR5j5ZZaMw,La Grande Boucherie,145 W 53rd St,"{'latitude': 40.7626274, 'longitude': -73.98084109999999}",2056,4.5,10019
9K0run3oObR0YT4jaOEvWg,L'Angeletto,327 2nd Ave,"{'latitude': 40.73541417, 'longitude': -73.982956}",83,4.5,10003
tRIHhPKryUZ56SfIz6mLiA,Angelo's Coal Oven Pizzeria,117 W 57th St,"{'latitude': 40.76492, 'longitude': -73.97794}",1125,4.0,10019
hSpZSqElyjHTfE4lQJ97Cg,Mareluna,137 Sullivan St,"{'latitude': 40.726787, 'longitude': -74.001836}",64,4.5,10012
B2X53VuOuLyXe0OsGY-ZzA,La Pecora Bianca,817 Washington St,"{'latitude': 40.73959, 'longitude': -74.00775}",36,4.5,10014
xKIv_b2L2pUHmsoJ-xOepg,Gran Morsi,22 Warren St,"{'latitude': 40.714312, 'longitude': -74.007791}",462,4.5,10007
hkooeEkd3oPsLD6JJrYpjA,Café Luce,235 E 53rd St,"{'latitude': 40.757323, 'longitude': -73.967928}",98,4.5,10022
C8Ctyq7pXOPESK8cz_X2CA,Pomodoro Rosso,229 Columbus Ave,"{'latitude': 40.776398, 'longitude': -73.979288}",379,4.0,10023
6Z5OWpaeGGazJHR4LfThsw,Palma,28 Cornelia St,"{'latitude': 40.73115, 'longitude': -74.00233}",826,4.0,10014
kr5fRwdHtVwPPwSJxm9Fkg,Il Posto Accanto,190 E 2nd St,"{'latitude': 40.72238, 'longitude': -73.98403}",299,4.0,10009
rZ9OFoSqy8u4WECfh--ylg,Marta,29 E 29th St,"{'latitude': 40.7445882, 'longitude': -73.9847936}",1000,4.0,10016
d15lwNLOlLSeaAYqPadntw,Sam's Place,132 E 39th St,"{'latitude': 40.749270880468, 'longitude': -73.977082744053}",292,4.0,10016
kMQ0IXs5mdjDeUvpWSHgRg,Il Mulino New York - Tribeca,361 Greenwich St,"{'latitude': 40.71904, 'longitude': -74.01016}",50,4.0,10013
lP4ynyBoeFPywLg78XkMmw,Cibo e Vino,2418 Broadway,"{'latitude': 40.79000179662657, 'longitude': -73.97485616653263}",398,4.0,10024
yi6jIxzHo-nbAOG4KWuqcw,Maialino,30 E 30th St,"{'latitude': 40.7448869, 'longitude': -73.984231}",1416,4.0,10016
